Address,Amount,Label
0x7Bc25283a29A3888CAb4555Ea86fF1a8C18Cc90a,779,Unknown1 (SetInMergeERC721 Contract)
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,318,Centre
0xdAC17F958D2ee523a2206206994597C13D831ec7,285,Bitfinex (Blocked)
0x68b3465833fb72A70ecDF485E0e4C7bD8665Fc45,184,Uniswap
0xaaAEBE6Fe48E54f431b0C390CfaF0b017d09D42d,159,Celsius Network
0x57C1e0C2ADf6EECDb135BcF9ec5F23b319be2c94,156,MEV
0xfc1726c4ead2393fA14407Ff54B336E2c8BB4aCA,144,Unknown2 (Genesis Contract)
0x8d8c3637293A2D84202438B2567dA5421238DBa7,122,Unknown3 (Token Contract)
0xe0c9BfC391cEE9e840825239aE9910C77064b356,118,Unknown4 (Subjects Contract)
0xcE0f25934dEAaddd174427F1978bCd487a85E9fA,101,Unknown5 (Truplay Contract)
0x00000000AE347930bD1E7B0F35588b92280f9e75,99,Unknown6
0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,99,Uniswap
0xbaDc0dEfAfCF6d4239BDF0b66da4D7Bd36fCF05A,88,MEV
0xE42caD6fC883877A76A26A16ed92444ab177E306,80,Token (TheMergeNFT)
0x0e824d5f934Ad01A603101d6A41D723C1702822B,78,Unknown7 (Conclusion Contract)
0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,54,Lido Token
0x881D40237659C251811CEC9c364ef91dC08D300C,51,MetaMask
0x00000000006c3852cbEf3e08E8dF289169EdE581,50,Unknown8 (Seaport Contract)
0x346B5B8844D2548f6aD55089d8939CfFbE3aCBAF,45,Unknown9 (Kungfungus Contract)
0xDBd324B73f6f85bf9013B75C442021303b635Ff9,44,Sorare (Fantasy Football nice)